,none,C > SMA(50),"C > SMA(50), 3d",C > EMA(120),"C > EMA(120), 3d"
2023-08-28 00:00:00+00:00,537.8740338537957,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-08-29 00:00:00+00:00,537.8740338537957,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-08-30 00:00:00+00:00,550.0788813636489,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-08-31 00:00:00+00:00,551.8036456265766,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-01 00:00:00+00:00,550.5570606183286,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-02 00:00:00+00:00,550.7434020613584,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-03 00:00:00+00:00,550.7434020613584,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-04 00:00:00+00:00,550.7434020613584,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-05 00:00:00+00:00,551.8410705076847,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-06 00:00:00+00:00,551.1657580192978,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-07 00:00:00+00:00,531.4725014587486,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-08 00:00:00+00:00,535.0186189044197,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-09 00:00:00+00:00,523.1129293206857,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-10 00:00:00+00:00,516.3579889087063,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-11 00:00:00+00:00,512.1944527690046,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-12 00:00:00+00:00,510.49698172873235,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-13 00:00:00+00:00,517.112592328466,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-14 00:00:00+00:00,487.6256751868664,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-15 00:00:00+00:00,498.86585992328236,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-16 00:00:00+00:00,506.24171975626365,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-17 00:00:00+00:00,504.19041094610344,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-18 00:00:00+00:00,504.19041094610344,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-19 00:00:00+00:00,505.15148652617273,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-20 00:00:00+00:00,498.1180304406062,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-21 00:00:00+00:00,498.1180304406062,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-22 00:00:00+00:00,516.7418626536765,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-23 00:00:00+00:00,520.0647306370902,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-24 00:00:00+00:00,520.0647306370902,1661.2935595737833,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-25 00:00:00+00:00,516.2508567905695,1578.434546931473,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-26 00:00:00+00:00,519.8107164098934,1578.434546931473,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-27 00:00:00+00:00,519.8107164098934,1578.434546931473,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-28 00:00:00+00:00,519.8107164098934,1578.434546931473,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-29 00:00:00+00:00,547.2795648593914,1578.434546931473,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-09-30 00:00:00+00:00,547.2795648593914,1578.434546931473,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-10-01 00:00:00+00:00,540.5783025769346,1578.434546931473,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-10-02 00:00:00+00:00,540.5783025769346,1578.434546931473,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-10-03 00:00:00+00:00,542.465524244322,1578.434546931473,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-10-04 00:00:00+00:00,542.465524244322,1573.2066584899035,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-10-05 00:00:00+00:00,545.210534271015,1582.4708976409288,1357.0856894229394,996.3659560454273,1012.3468362146613
2023-10-06 00:00:00+00:00,540.8557443556598,1570.7522290774755,1332.8838895561344,996.3659560454273,1012.3468362146613
2023-10-07 00:00:00+00:00,508.00526973210987,1474.4574883929865,1313.912455551696,919.6298876573962,1012.3468362146613
2023-10-08 00:00:00+00:00,506.7484466778933,1528.0954952231862,1317.9480079214602,955.3560607535564,1012.3468362146613
2023-10-09 00:00:00+00:00,505.79020496033945,1525.2101697443495,1311.7895931404403,955.3560607535564,965.8053053059358
2023-10-10 00:00:00+00:00,503.4947162084936,1519.5521666886,1311.7895931404403,955.3560607535564,965.8053053059358
2023-10-11 00:00:00+00:00,503.4947162084936,1519.5521666886,1311.7895931404403,955.3560607535564,965.8053053059358
2023-10-12 00:00:00+00:00,502.5229877473153,1516.6095426311772,1308.2734493648677,955.3560607535564,963.7169788864762
2023-10-13 00:00:00+00:00,503.08038763545096,1518.06274952743,1309.1711905573175,948.8574730148976,963.7169788864762
2023-10-14 00:00:00+00:00,497.8146918727693,1499.6129469431855,1287.6142465075413,937.6317699824945,955.6961600217243
2023-10-15 00:00:00+00:00,497.8146918727693,1499.6129469431855,1287.6142465075413,937.6317699824945,956.2128529984218
2023-10-16 00:00:00+00:00,513.0005261980147,1518.8396914561763,1314.25365912954,939.575940915522,989.5263027390068
2023-10-17 00:00:00+00:00,518.6061626424323,1522.9695609681128,1323.0684183768215,939.575940915522,989.5263027390068
