date,equity,cash,reserved,invested,open_positions,open_orders,mode,daily_return,peak,drawdown
2024-11-18 00:00:00+00:00,445840.282517924,361577.6125442876,361577.61254428746,84262.66997363638,9,37,positive_momentum_correction,5.9882530597965555e-05,1357504.438206722,-0.6715736096547251
2024-11-19 00:00:00+00:00,448225.61241636437,328467.76526907744,328467.7652690775,119757.8471472869,14,31,positive_momentum_correction,0.005350189276233763,1357504.438206722,-0.6698164663030677
2024-11-20 00:00:00+00:00,449190.9538921531,175726.1676229437,175726.16762294367,273464.7862692094,30,15,positive_momentum_correction,0.00215369548068578,1357504.438206722,-0.6691053515187477
2024-11-21 00:00:00+00:00,470997.2700358704,159305.22731418072,159305.22731418067,311692.0427216897,33,14,positive_momentum_correction,0.04854575978160236,1357504.438206722,-0.6530418194005592
2024-11-22 00:00:00+00:00,478065.9497302143,176977.327275351,176977.32727535098,301088.6224548633,32,15,positive_momentum_correction,0.015007899501849664,1357504.438206722,-0.6478347058947781
2024-11-23 00:00:00+00:00,487133.3044122571,201567.78266251314,201567.7826625131,285565.52174974396,31,20,positive_momentum_correction,0.0189667444149908,1357504.438206722,-0.6411552767696542
2024-11-24 00:00:00+00:00,493353.45482795255,199092.44172299,199092.44172299,294261.01310496253,30,21,positive_momentum_correction,0.012768887611164903,1357504.438206722,-0.6365732288288665
2024-11-25 00:00:00+00:00,489543.2495188009,300440.797865197,300440.797865197,189102.45165360384,21,30,positive_momentum_correction,-0.007723074140588371,1357504.438206722,-0.6393800007272958
2024-11-26 00:00:00+00:00,496732.8303830391,167800.70841291212,167800.7084129121,328932.121970127,34,15,positive_momentum_correction,0.014686303756216157,1357504.438206722,-0.6340838258774104
2024-11-27 00:00:00+00:00,512165.4621115413,170382.82072759455,170382.82072759455,341782.64138394676,33,17,positive_momentum_correction,0.031068274099382176,1357504.438206722,-0.6227154418823725
2024-11-28 00:00:00+00:00,515004.30790148734,157573.73842427766,157573.73842427763,357430.5694772097,35,14,positive_momentum_correction,0.005542829417356954,1357504.438206722,-0.6206242179349236
2024-11-29 00:00:00+00:00,525006.2054448584,235105.68158915118,235105.68158915118,289900.5238557072,27,20,positive_momentum_correction,0.019420997824515895,1357504.438206722,-0.6132563616967638
2024-11-30 00:00:00+00:00,530417.7022425836,335352.34162163653,335352.34162163653,195065.36062094706,18,30,positive_momentum_correction,0.010307491114585732,1357504.438206722,-0.6092700050813307
2024-12-01 00:00:00+00:00,530016.8723299883,507072.84242936206,507072.84242936224,22944.029900626185,4,40,positive_momentum_correction,-0.0007556872836269601,1357504.438206722,-0.6095652747698224
2024-12-02 00:00:00+00:00,542021.3852603419,314941.3558078141,314941.3558078141,227080.02945252784,24,25,positive_momentum_correction,0.022649303365723128,1357504.438206722,-0.6007222002335713
2024-12-03 00:00:00+00:00,550517.5572587874,207889.55282717673,207889.55282717673,342628.0044316107,33,19,positive_momentum_correction,0.015674975618101605,1357504.438206722,-0.5944635304573832
2024-12-04 00:00:00+00:00,555620.200339203,207889.55282717673,207889.55282717673,347730.64751202625,33,19,positive_momentum_correction,0.009268810800191929,1357504.438206722,-0.5907046896486149
2024-12-05 00:00:00+00:00,561806.963394775,144817.49919722896,144817.49919722896,416989.46419754607,38,14,positive_momentum_correction,0.011134877838845814,1357504.438206722,-0.5861472363678397
