symbol,signal_date,entry_date,target_exit_date,entry_price,quantity,entry_cost,entry_fee,reserved,momentum,sigma,correction_sigma,volume_rank,entry_time,target_exit_time,exit_date,exit_price,exit_fee,funding_cost,pnl,return_on_reserved,holding_days_actual,holding_hours_actual,exit_reason,mode
XLMUSDT,2020-04-14 00:00:00+00:00,2020-04-16 00:00:00+00:00,2020-04-21 00:00:00+00:00,0.04569238372460976,209784.40449396783,9595.135059086702,9.585549509577126,9595.135059086702,0.7754741433385454,0.04947769663651434,1.0,14.0,2020-04-16 00:00:00+00:00,2020-04-21 00:00:00+00:00,2020-04-21 00:00:00+00:00,0.049375300000000004,10.358167907211012,0.0,752.6746802170983,0.07844336484918019,5,120.0,scheduled,full
LINKUSDT,2020-04-18 00:00:00+00:00,2020-04-19 00:00:00+00:00,2020-04-24 00:00:00+00:00,3.5798918143380347,2749.5735000298046,9853.018841343155,9.843175665677478,9853.018841343153,2.581761891365434,0.054920389738923374,1.0,4.0,2020-04-19 13:00:00+00:00,2020-04-24 13:00:00+00:00,2020-04-24 13:00:00+00:00,3.8170905,10.495370886015516,0.0,631.8566737863457,0.06412823155631069,5,120.0,scheduled,full
VETUSDT,2020-04-17 00:00:00+00:00,2020-04-20 00:00:00+00:00,2020-04-25 00:00:00+00:00,0.00360660619161087,2699685.2377340007,9746.438195305722,9.73670149381191,9746.438195305722,1.1559981215260513,0.04722130787469174,1.0,19.0,2020-04-20 19:00:00+00:00,2020-04-25 19:00:00+00:00,2020-04-25 19:00:00+00:00,0.004122937500000001,11.130633504849929,0.0,1373.0646760393556,0.14087861109104236,5,120.0,scheduled,full
XTZUSDT,2020-04-19 00:00:00+00:00,2020-04-20 00:00:00+00:00,2020-04-25 00:00:00+00:00,2.12147592650406,4605.613683503198,9780.469254886053,9.770698556329725,9780.469254886053,1.3234578314434322,0.05659348299215423,1.0,5.0,2020-04-20 19:00:00+00:00,2020-04-25 19:00:00+00:00,2020-04-25 19:00:00+00:00,2.8165910000000003,12.972130050431959,0.0,3178.688665495474,0.3250036969246122,5,120.0,scheduled,full
LINKUSDT,2020-04-24 00:00:00+00:00,2020-04-27 00:00:00+00:00,2020-05-02 00:00:00+00:00,3.5615711558561873,2854.9259836118217,10178.190057371554,10.168022035336218,10178.190057371554,1.8419609350966193,0.05952222621294806,1.0,3.0,2020-04-27 06:00:00+00:00,2020-05-02 06:00:00+00:00,2020-05-02 06:00:00+00:00,3.764117,10.74627542865498,0.0,557.3390958547716,0.05475817337986519,5,120.0,scheduled,full
XTZUSDT,2020-04-25 00:00:00+00:00,2020-04-27 00:00:00+00:00,2020-05-02 00:00:00+00:00,2.6801972593891468,3814.5025656688044,10233.842941760837,10.223619322438399,10233.842941760837,1.923060166092785,0.06248067616757588,1.0,5.0,2020-04-27 05:00:00+00:00,2020-05-02 05:00:00+00:00,2020-05-02 05:00:00+00:00,2.7856065,10.625703141193698,0.0,381.2344962916686,0.03725233018145902,5,120.0,scheduled,full
TRXUSDT,2020-04-29 00:00:00+00:00,2020-04-30 00:00:00+00:00,2020-05-05 00:00:00+00:00,0.01566440038496248,664853.9313270659,10424.952716001333,10.414538177823509,10424.952716001331,1.161233047633439,0.03670226247651674,1.0,15.0,2020-04-30 09:00:00+00:00,2020-05-05 09:00:00+00:00,2020-05-05 09:00:00+00:00,0.016571710000000003,11.017766542312055,0.0,581.7960597684087,0.055808028642221646,5,120.0,scheduled,full
VETUSDT,2020-04-29 00:00:00+00:00,2020-04-30 00:00:00+00:00,2020-05-05 00:00:00+00:00,0.004567482620330298,2280148.3976025246,10424.952716001333,10.414538177823509,10424.952716001331,1.1029378619177665,0.04233533291611177,1.0,20.0,2020-04-30 09:00:00+00:00,2020-05-05 09:00:00+00:00,2020-05-05 09:00:00+00:00,0.0043688145,9.961545381597675,0.0,-473.36887978525556,-0.04540729274087531,5,120.0,scheduled,full
ADAUSDT,2020-05-01 00:00:00+00:00,2020-05-03 00:00:00+00:00,2020-05-08 00:00:00+00:00,0.04848197096427844,212534.79589259857,10314.409909167172,10.304105803363809,10314.40990916717,1.8477252807322395,0.05122169893745818,1.0,12.0,2020-05-03 14:00:00+00:00,2020-05-08 14:00:00+00:00,2020-05-08 14:00:00+00:00,0.051214380000000004,10.884837800065984,0.0,559.5430530987451,0.054248673266459796,5,120.0,scheduled,full
ETCUSDT,2020-05-02 00:00:00+00:00,2020-05-03 00:00:00+00:00,2020-05-08 00:00:00+00:00,7.12769226200563,1452.1180762037252,10360.60102605107,10.350250775275795,10360.601026051068,1.6001709190678202,0.047576603159527796,1.0,10.0,2020-05-03 06:00:00+00:00,2020-05-08 06:00:00+00:00,2020-05-08 06:00:00+00:00,7.040478,10.223605368914653,0.0,-147.21926250533215,-0.014209529170668646,5,120.0,scheduled,full
BTCUSDT,2020-05-03 00:00:00+00:00,2020-05-04 00:00:00+00:00,2020-05-09 00:00:00+00:00,8564.654499284137,1.203016806618713,10313.726728826918,10.303423305521395,10313.726728826916,1.5378187748917005,0.038407484446490794,1.0,1.0,2020-05-04 05:00:00+00:00,2020-05-09 05:00:00+00:00,2020-05-09 05:00:00+00:00,9838.078500000001,11.83537378033422,0.0,1509.811677726968,0.14638856714198534,5,120.0,scheduled,full
XLMUSDT,2020-05-03 00:00:00+00:00,2020-05-04 00:00:00+00:00,2020-05-09 00:00:00+00:00,0.06943244966980776,148394.92707689633,10313.72672882692,10.303423305521397,10313.726728826916,1.898357089901253,0.04887147109156351,1.0,11.0,2020-05-04 01:00:00+00:00,2020-05-09 01:00:00+00:00,2020-05-09 01:00:00+00:00,0.07330333,10.877842309843667,0.0,553.2377387069046,0.05364091499153283,5,120.0,scheduled,full
ADAUSDT,2020-05-08 00:00:00+00:00,2020-05-10 00:00:00+00:00,2020-05-15 00:00:00+00:00,0.04956260213698012,213134.9521553173,10574.086357993443,10.563522835158285,10574.086357993441,1.6210503761225281,0.04877609348000955,1.0,12.0,2020-05-10 00:00:00+00:00,2020-05-15 00:00:00+00:00,2020-05-15 00:00:00+00:00,0.050934520000000004,10.855926483254052,0.0,270.9841987773543,0.025627197433705923,5,120.0,scheduled,full
TRXUSDT,2020-05-08 00:00:00+00:00,2020-05-10 00:00:00+00:00,2020-05-15 00:00:00+00:00,0.01575760372580783,670376.2208372665,10574.086357993441,10.563522835158283,10574.086357993441,1.2899348628267442,0.03445539161846961,1.0,14.0,2020-05-10 00:00:00+00:00,2020-05-15 00:00:00+00:00,2020-05-15 00:00:00+00:00,0.015262365000000002,10.231526569738968,0.0,-352.79131482421326,-0.03336376334372586,5,120.0,scheduled,full
BTCUSDT,2020-05-09 00:00:00+00:00,2020-05-10 00:00:00+00:00,2020-05-15 00:00:00+00:00,9185.303236292091,1.151350648180755,10586.080339676528,10.575504834841686,10586.080339676526,1.6852541473273868,0.03900657668349528,1.0,1.0,2020-05-10 00:00:00+00:00,2020-05-15 00:00:00+00:00,2020-05-15 00:00:00+00:00,9782.726190000001,11.263348139831349,0.0,666.0044520149895,0.06291322478621396,5,120.0,scheduled,full
NEOUSDT,2020-05-09 00:00:00+00:00,2020-05-10 00:00:00+00:00,2020-05-15 00:00:00+00:00,10.512610772117196,1005.9827253274996,10586.080339676528,10.575504834841686,10586.080339676526,1.8320181979716075,0.044774107013733966,1.0,18.0,2020-05-10 00:00:00+00:00,2020-05-15 00:00:00+00:00,2020-05-15 00:00:00+00:00,10.185904500000001,10.246843968835643,0.0,-349.4832148097212,-0.03301346708090449,5,120.0,scheduled,full
XLMUSDT,2020-05-09 00:00:00+00:00,2020-05-10 00:00:00+00:00,2020-05-15 00:00:00+00:00,0.06826052782153831,154928.55347515765,10586.080339676526,10.575504834841684,10586.080339676526,1.8490239486640856,0.04636577373535311,1.0,11.0,2020-05-10 00:00:00+00:00,2020-05-15 00:00:00+00:00,2020-05-15 00:00:00+00:00,0.069195385,10.720340905206623,0.0,123.54022462488865,0.0116700630130173,5,120.0,scheduled,full
IOTAUSDT,2020-05-10 00:00:00+00:00,2020-05-11 00:00:00+00:00,2020-05-16 00:00:00+00:00,0.17586048212445177,58172.58149850696,10240.488486980148,10.230258228751396,10240.488486980146,1.0830110727675382,0.044701166138943545,1.0,23.0,2020-05-11 16:00:00+00:00,2020-05-16 16:00:00+00:00,2020-05-16 16:00:00+00:00,0.1987006,11.558926847302233,0.0,1306.8794334747836,0.12761885677000295,5,120.0,scheduled,full
ADAUSDT,2020-05-18 00:00:00+00:00,2020-05-21 00:00:00+00:00,2020-05-26 00:00:00+00:00,0.05200707245792869,206545.98226858972,10752.593717602336,10.741851865736601,10752.593717602334,0.755642151565264,0.04424887114355367,1.0,11.0,2020-05-21 14:00:00+00:00,2020-05-26 14:00:00+00:00,2020-05-26 14:00:00+00:00,0.052603685000000004,10.86507978927248,0.0,101.62099188087086,0.009450835263543353,5,120.0,scheduled,full
BTCUSDT,2020-05-18 00:00:00+00:00,2020-05-21 00:00:00+00:00,2020-05-26 00:00:00+00:00,9280.578711019276,1.157454960538429,10752.593717602336,10.741851865736601,10752.593717602334,1.0824635378165368,0.04740303626822999,1.0,1.0,2020-05-21 08:00:00+00:00,2020-05-26 08:00:00+00:00,2020-05-26 08:00:00+00:00,8947.50401,10.356332900811985,0.0,-406.6171496911629,-0.03781572710456993,5,120.0,scheduled,full
NEOUSDT,2020-05-18 00:00:00+00:00,2020-05-21 00:00:00+00:00,2020-05-26 00:00:00+00:00,9.73862938242102,1103.0147512468718,10752.593717602334,10.7418518657366,10752.593717602334,0.8277855640360235,0.05156748609977729,1.0,16.0,2020-05-21 14:00:00+00:00,2020-05-26 14:00:00+00:00,2020-05-26 14:00:00+00:00,9.8000975,10.80965210615759,0.0,46.24873644909712,0.004301170272376839,5,120.0,scheduled,full
IOTAUSDT,2020-05-19 00:00:00+00:00,2020-05-21 00:00:00+00:00,2020-05-26 00:00:00+00:00,0.1926256591627137,55765.42560543712,10752.593717602334,10.7418518657366,10752.593717602334,0.3857793365183927,0.049003028539463374,1.0,22.0,2020-05-21 10:00:00+00:00,2020-05-26 10:00:00+00:00,2020-05-26 10:00:00+00:00,0.1931034,10.768493286856968,0.0,5.13107596777445,0.0004771942568028695,5,120.0,scheduled,full
LINKUSDT,2020-05-20 00:00:00+00:00,2020-05-21 00:00:00+00:00,2020-05-26 00:00:00+00:00,3.956252884236274,2715.158049814663,10752.593717602334,10.7418518657366,10752.593717602334,0.6707976406873377,0.032269160452481474,1.0,4.0,2020-05-21 13:00:00+00:00,2020-05-26 13:00:00+00:00,2020-05-26 13:00:00+00:00,3.804097,10.32872459182581,0.0,-434.19785036834946,-0.040380754799426107,5,120.0,scheduled,full
QTUMUSDT,2020-05-22 00:00:00+00:00,2020-05-23 00:00:00+00:00,2020-05-28 00:00:00+00:00,1.6704577270514984,6557.034877425648,10964.20282711939,10.953249577541849,10964.202827119389,0.2822555955006742,0.053919226487548697,1.0,24.0,2020-05-23 16:00:00+00:00,2020-05-28 16:00:00+00:00,2020-05-28 16:00:00+00:00,1.6781605000000002,11.003756928418067,0.0,28.550344370258244,0.002603959888414363,5,120.0,scheduled,full
VETUSDT,2020-05-25 00:00:00+00:00,2020-05-26 00:00:00+00:00,2020-05-31 00:00:00+00:00,0.00480219583761456,2237262.262899229,10754.515298073353,10.743771526546807,10754.515298073355,0.5758135510209222,0.0530834053640769,1.0,17.0,2020-05-26 15:00:00+00:00,2020-05-31 15:00:00+00:00,2020-05-31 15:00:00+00:00,0.0063798085000000004,14.273304801573735,0.0,3504.516198698808,0.32586463467364574,5,120.0,scheduled,full
IOSTUSDT,2020-05-25 00:00:00+00:00,2020-05-27 00:00:00+00:00,2020-06-01 00:00:00+00:00,0.00428901178789097,2504952.6692557377,10754.515298073355,10.743771526546809,10754.515298073355,0.7135189337546082,0.06804151133533265,1.0,22.0,2020-05-27 19:00:00+00:00,2020-06-01 19:00:00+00:00,2020-06-01 19:00:00+00:00,0.0050984495,12.771374684090583,0.0,2004.0880113331368,0.1863485202064071,5,120.0,scheduled,full
ETCUSDT,2020-05-30 00:00:00+00:00,2020-05-31 00:00:00+00:00,2020-06-05 00:00:00+00:00,7.285916841459402,1524.8194614378026,11120.817502069016,11.109707794274742,11120.817502069014,1.5430299675700299,0.027625512477640068,1.0,5.0,2020-05-31 03:00:00+00:00,2020-06-05 03:00:00+00:00,2020-06-05 03:00:00+00:00,6.912542000000001,10.540378569606194,0.0,-590.9793110324281,-0.05314171470959551,5,120.0,scheduled,full
ZECUSDT,2020-05-30 00:00:00+00:00,2020-05-31 00:00:00+00:00,2020-06-05 00:00:00+00:00,52.00025615507347,213.64717437436715,11120.817502069016,11.109707794274742,11120.817502069014,1.3227154331688442,0.04860207116526664,1.0,17.0,2020-05-31 15:00:00+00:00,2020-06-05 15:00:00+00:00,2020-06-05 15:00:00+00:00,52.7736,11.274930521563103,0.0,142.8380889725231,0.01284420762645806,5,120.0,scheduled,full
ADAUSDT,2020-06-01 00:00:00+00:00,2020-06-02 00:00:00+00:00,2020-06-07 00:00:00+00:00,0.07591875264066275,148478.1155500208,11283.545600320764,11.272273326993771,11283.545600320764,1.6039943526253924,0.06626581559368161,1.0,5.0,2020-06-02 14:00:00+00:00,2020-06-07 14:00:00+00:00,2020-06-07 14:00:00+00:00,0.083808075,12.443665043874809,0.0,1147.6757785101709,0.10171233574644704,5,120.0,scheduled,full
ETHUSDT,2020-06-01 00:00:00+00:00,2020-06-02 00:00:00+00:00,2020-06-07 00:00:00+00:00,238.636963005558,47.236074349183006,11283.545600320766,11.272273326993773,11283.545600320764,1.4440077104143743,0.04210779550700866,1.0,2.0,2020-06-02 14:00:00+00:00,2020-06-07 14:00:00+00:00,2020-06-07 14:00:00+00:00,235.71208500000003,11.134113572060945,0.0,-160.5661418318814,-0.014230114143139272,5,120.0,scheduled,full
IOSTUSDT,2020-06-01 00:00:00+00:00,2020-06-02 00:00:00+00:00,2020-06-07 00:00:00+00:00,0.004788545801834867,2354007.6243344024,11283.545600320764,11.272273326993771,11283.545600320764,1.452727130270499,0.06262153105513822,1.0,22.0,2020-06-02 14:00:00+00:00,2020-06-07 14:00:00+00:00,2020-06-07 14:00:00+00:00,0.004996500500000001,11.761800271990655,0.0,466.4928713979007,0.04134275589621753,5,120.0,scheduled,full
ONTUSDT,2020-06-01 00:00:00+00:00,2020-06-02 00:00:00+00:00,2020-06-07 00:00:00+00:00,0.5727572208150714,19680.7179679945,11283.545600320762,11.27227332699377,11283.54560032076,1.2400359686024287,0.046467726689954095,1.0,20.0,2020-06-02 14:00:00+00:00,2020-06-07 14:00:00+00:00,2020-06-07 14:00:00+00:00,0.55342315,10.891764932109115,0.0,-402.67243314375446,-0.0356866934744614,5,120.0,scheduled,full
VETUSDT,2020-06-03 00:00:00+00:00,2020-06-04 00:00:00+00:00,2020-06-09 00:00:00+00:00,0.006709843553109434,1709718.3714291092,11483.414734958536,11.47194279216637,11483.414734958535,1.7906714965918962,0.05694159478683827,1.0,14.0,2020-06-04 09:00:00+00:00,2020-06-09 09:00:00+00:00,2020-06-09 09:00:00+00:00,0.007680158,13.130907228078247,0.0,1634.361585891631,0.142323657519414,5,120.0,scheduled,full
IOTAUSDT,2020-06-04 00:00:00+00:00,2020-06-05 00:00:00+00:00,2020-06-10 00:00:00+00:00,0.2395501056157475,45680.61429569498,10953.738775105083,10.942795979125957,10953.738775105081,1.291923826200834,0.040295429024614506,1.0,24.0,2020-06-05 23:00:00+00:00,2020-06-10 23:00:00+00:00,2020-06-10 23:00:00+00:00,0.2500749,11.423575051934492,0.0,458.41270177747356,0.041849884426614505,5,120.0,scheduled,full
ATOMUSDT,2020-06-04 00:00:00+00:00,2020-06-07 00:00:00+00:00,2020-06-12 00:00:00+00:00,2.9936158876666727,3762.003852718562,11273.256497464483,11.261994502961521,11273.256497464481,1.3296089095212158,0.03846223418095419,1.0,21.0,2020-06-07 12:00:00+00:00,2020-06-12 12:00:00+00:00,2020-06-12 12:00:00+00:00,2.8875555,10.862994915938675,0.0,-421.1245764417472,-0.03735607156072997,5,120.0,scheduled,full
ADAUSDT,2020-06-07 00:00:00+00:00,2020-06-10 00:00:00+00:00,2020-06-15 00:00:00+00:00,0.08080101794459593,140966.80833326175,11401.651871338026,11.390261609728299,11401.651871338025,1.5066110576979705,0.06907927824193595,1.0,4.0,2020-06-10 00:00:00+00:00,2020-06-15 00:00:00+00:00,2020-06-15 00:00:00+00:00,0.07642177,10.772933004078613,0.0,-639.4918002634913,-0.05608764479742396,5,120.0,scheduled,full
BATUSDT,2020-06-08 00:00:00+00:00,2020-06-10 00:00:00+00:00,2020-06-15 00:00:00+00:00,0.24578488443153163,46932.254569135526,11546.774004151583,11.535238765386197,11546.774004151583,1.1040578466378457,0.04423020427135814,1.0,21.0,2020-06-10 03:00:00+00:00,2020-06-15 03:00:00+00:00,2020-06-15 03:00:00+00:00,0.22108940000000002,10.376224003337432,0.0,-1180.9262248174873,-0.10227326042692889,5,120.0,scheduled,full
