start,end,initial_equity,final_equity,total_return,cagr,annualized_volatility,sharpe_zero_cash,max_drawdown,max_drawdown_days,daily_es_90,daily_es_95,daily_es_99,trades,hit_rate,mean_trade_return,median_trade_return,trade_es_95,profit_factor,total_fees,average_invested_fraction,average_reserved_fraction,orders,fills,fill_rate,forced_exits,delayed_exit_days,mode,execution,funding_charged,holding_days,window
2020-01-01,2026-06-30,100000.0,1582062.4948539683,14.820624948539683,0.5298936003638726,0.5313752657356019,1.0681157714980838,-0.7718002318967433,1273,-0.046965329837459574,-0.06434148083543814,-0.12068939664130429,3562,0.47866367209432903,0.01106141407634392,-0.0042598949925566655,-0.3106370399072446,1.095590048666845,606804.9593440716,0.36679982186972915,0.49050721240630474,7355,3562,0.48429639700883753,2,0,full,hourly,True,3,full
2024-01-01,2026-06-30,100000.0,175177.28657852812,0.7517728657852811,0.25204025601733004,0.5326216782706678,0.6818162839798081,-0.4753331626380056,230,-0.046876919626357504,-0.059112274645815796,-0.08617797307282517,1440,0.4548611111111111,0.006473315515799147,-0.008845002238540732,-0.3905275894498896,1.0668802454229018,40644.831201623805,0.37874379880112796,0.5491981000478859,3102,1440,0.46421663442940037,0,0,full,hourly,True,3,clean-oos
2020-01-01,2026-06-30,100000.0,999954.7141516602,8.999547141516603,0.425545065814519,0.5709670089259054,0.9091847531361016,-0.7188441626960798,838,-0.05313358877781499,-0.07163532305506747,-0.1270434104836022,3066,0.47390737116764514,0.015352068949443114,-0.006810559838781389,-0.37604755992262284,1.0446426451145654,649516.4599311429,0.4891096494294465,0.38157319458044686,6235,3066,0.4917401764234162,0,0,full,daily,False,5,full
2024-01-01,2026-06-30,100000.0,47705.23474064146,-0.5229476525935854,-0.2567643994453813,0.5591250214406844,-0.2502868007525776,-0.718844162656598,838,-0.05402631274176585,-0.06941713121140544,-0.10587300628343158,1256,0.43312101910828027,0.0024210518005572594,-0.018278930854805274,-0.4803573697015397,0.9056781750303939,15592.753226381075,0.5151633016034287,0.4213662550267802,2645,1256,0.47485822306238185,0,0,full,daily,False,5,clean-oos
2020-01-01,2026-06-30,100000.0,1066640.890191784,9.666408901917839,0.43978729887136425,0.6037510917757479,0.9083224817010427,-0.738157390957573,838,-0.056147563413741566,-0.07541315066183653,-0.132424088998954,3066,0.4774951076320939,0.015233444849920001,-0.007026260823066885,-0.3869337330269956,1.0398448846423187,749146.6454778949,0.48935548503751924,0.38140131468675026,6235,3066,0.4917401764234162,0,0,full,hourly,False,5,full
2024-01-01,2026-06-30,100000.0,43965.50950407128,-0.5603449049592872,-0.2806970303718963,0.5912729709767869,-0.26095652916024736,-0.738157390945632,838,-0.05702784838413442,-0.07241795960728478,-0.10725487151794637,1256,0.42754777070063693,-0.0009647997457624952,-0.020657635131487283,-0.4886714283428113,0.9000928564290349,15426.266579323621,0.515413399805278,0.4210846019405608,2645,1256,0.47485822306238185,0,0,full,hourly,False,5,clean-oos
2020-01-01,2026-06-30,100000.0,2601880.741275784,25.01880741275784,0.6517015802348016,0.6096169255148303,1.1297811457555216,-0.6933096405505513,826,-0.05574617470661498,-0.07482645751972312,-0.1316788864903268,3066,0.4755381604696673,0.019290056656587725,-0.0065169109416432554,-0.37279196707215173,1.1002382849265189,747911.2983535121,0.4891624067407464,0.3816662452346994,6235,3066,0.4917401764234162,0,0,full,hourly,True,5,full
2024-01-01,2026-06-30,100000.0,109777.81186888336,0.09777811868883357,0.038110609947354934,0.6065615450128571,0.3618883497443748,-0.6933096405352737,717,-0.05601896821387475,-0.07105534613095482,-0.1053831563138786,1256,0.4339171974522293,0.009746929123941055,-0.019424577542861293,-0.4598903799168686,1.0144521658595418,17984.35989938686,0.5150136258998703,0.42161320797144863,2645,1256,0.47485822306238185,0,0,full,hourly,True,5,clean-oos
2020-01-01,2026-06-30,100000.0,244830.65817076943,1.448306581707694,0.14783404928716593,0.6912482894460648,0.5504950123121393,-0.8985572207960775,1678,-0.0635627457584588,-0.0821674504570471,-0.1412656225383013,2363,0.46170122725349133,0.01376774906041029,-0.01377491858048883,-0.5012842033329801,1.0130724691619615,245298.63739267056,0.6392065777899094,0.2563117033527616,4877,2363,0.4845191716218987,3,0,full,daily,False,10,full
2024-01-01,2026-06-30,100000.0,32773.261090103566,-0.6722673890989643,-0.3606247464266309,0.7333455572200596,-0.23662324532914453,-0.8556136575431662,553,-0.06433862266217891,-0.08159173299511525,-0.13387567030987868,980,0.41836734693877553,-0.006099273302792531,-0.025679439478707863,-0.5942250968983233,0.9041259194850048,14575.593829310576,0.6711424105059038,0.2858868112245652,2063,980,0.4750363548230732,0,0,full,daily,False,10,clean-oos
2020-01-01,2026-06-30,100000.0,206530.78224211666,1.0653078224211665,0.11815654831840838,0.717352678977299,0.5204682470090072,-0.9301746436119905,1678,-0.0663725938447971,-0.08553125931650739,-0.14644792770920087,2363,0.4663563267033432,0.01441822674689281,-0.016306988613046698,-0.4971724877779427,1.008900658365602,257100.39675938137,0.639915770218791,0.2560585297314325,4878,2363,0.484419844198442,2,1,full,hourly,False,10,full
