symbol,trades,pnl,mean_return,hit_rate
MAVUSDT,1,774.2266374440442,0.0202475549718749,1.0
CVCUSDT,1,735.1809855114952,0.0517376516001707,1.0
NIGHTUSDT,1,594.5798390872988,0.0485182507877643,1.0
DENTUSDT,4,572.1653282018524,0.00648557977286684,0.75
XMRUSDT,27,553.0250853030187,0.009125115146876013,0.7037037037037037
NANOUSDT,4,545.5264922433962,0.03752196503756192,0.5
POLUSDT,5,286.6780535152466,-0.02092273722714204,0.2
DIAUSDT,1,185.269159620462,0.131941293439427,1.0
ARUSDT,4,110.07698470543073,-0.036755377042304596,0.5
ONGUSDT,1,108.07835644399164,0.0148273903318487,1.0
WLFIUSDT,5,74.55061083614055,0.006005642677031438,0.4
ASTERUSDT,8,26.495676806381198,-0.021349657483600314,0.5
FILUSDT,20,6.671133917030602,0.004412073219838046,0.35
WANUSDT,1,-29.70283638386354,-0.0045296436693525,0.0
DOGSUSDT,1,-136.69971485737187,-0.0045080112823895,0.0
ZRXUSDT,9,-216.66981708585763,-0.01740694556483301,0.3333333333333333
MOVEUSDT,1,-249.6656900455564,-0.0051995274679053,0.0
BEAMUSDT,1,-286.7580982921154,-0.0268993412259635,0.0
LENDUSDT,5,-658.1937369034194,0.114009926999906,0.4
UUSDT,10,-759.1272989530817,-0.00245403896380008,0.0
COSUSDT,1,-829.6205629088672,-0.0795284144225125,0.0
NOTUSDT,2,-882.8718538270623,0.0047540434323768005,0.5
LAZIOUSDT,4,-982.312697856386,0.10086777288785118,0.5
ONEUSDT,9,-1002.2090180810519,0.0434094702790863,0.6666666666666666
MEGAUSDT,1,-1081.3219544481144,-0.10649813483421,0.0
PAXGUSDT,14,-1143.2885150349393,-0.0015444627738399144,0.5714285714285714
FLOWUSDT,1,-1231.427725045064,-0.1337532333947098,0.0
ZKUSDT,2,-1280.7424262087225,-0.0700783159313621,0.5
AIUSDT,1,-1312.540283374401,-0.0160467450891069,0.0
HNTUSDT,1,-1337.4298724270848,-0.0419599551377787,0.0
DREPUSDT,1,-1430.245538146938,-0.1691922831864115,0.0
ONTUSDT,9,-1573.3564374238103,-0.004477140627090096,0.4444444444444444
LQTYUSDT,3,-1618.3378262570586,-0.02971172787717953,0.3333333333333333
ZBTUSDT,1,-1757.628468988507,-0.0407558629774462,0.0
AMBUSDT,1,-1783.008656347778,-0.0663038267479154,0.0
CTSIUSDT,2,-1871.9703640594205,-0.0591024666790968,0.0
SENTUSDT,1,-1884.0414151452133,-0.0822702173456703,0.0
BTTUSDT,13,-1976.0209711532843,-0.01861211379796909,0.46153846153846156
ALLOUSDT,3,-1978.1459501086247,-0.01672320680825216,0.6666666666666666
MTLUSDT,2,-2106.253417591717,-0.02184990594807895,0.0
INJUSDT,28,-2226.0628146528506,0.02665780049088154,0.4642857142857143
ICXUSDT,12,-2226.4445361555026,-0.015858946143007188,0.5
TROYUSDT,1,-2429.706853987001,-0.0501592976072744,0.0
MIRUSDT,1,-2633.1258872870094,-0.0251552027017753,0.0
ORCAUSDT,3,-2716.0852982314864,-0.0363551012806979,0.3333333333333333
AVNTUSDT,1,-2875.6111034247697,-0.1213810272678823,0.0
LPTUSDT,3,-3356.2796075142523,-0.05222647664661859,0.3333333333333333
1MBABYDOGEUSDT,5,-3466.839469260064,0.0014538098457458598,0.4
PLUMEUSDT,1,-3660.297689657397,-0.0553465037072091,0.0
CFGUSDT,1,-3884.538413247727,-0.1185749151689256,0.0
LRCUSDT,9,-3904.76746151346,-0.03169978000788431,0.2222222222222222
C98USDT,2,-4529.958185999749,-0.011266180920358401,0.5
BETAUSDT,2,-4620.634433343575,0.07175456515009371,0.5
ENSOUSDT,1,-4711.27765768813,-0.0862675666853751,0.0
TWTUSDT,3,-4912.977284346274,-0.08408293435714514,0.3333333333333333
MORPHOUSDT,1,-5009.484124791226,-0.0935654410522439,0.0
FRONTUSDT,3,-5369.806060342489,-0.003610605997704075,0.6666666666666666
PYTHUSDT,1,-5525.908555390008,-0.0786753457431711,0.0
BLURUSDT,2,-5604.878556981974,-0.04225648986982925,0.0
IDUSDT,2,-5682.754980538753,0.015335581727216545,0.5
MEMEUSDT,4,-5738.582839809598,0.000545280304175097,0.5
VTHOUSDT,1,-5957.413625455476,-0.0637411060001166,0.0
SAHARAUSDT,2,-6049.814600132064,-0.24478273549935248,0.5
ZKPUSDT,1,-6280.825299222895,-0.124287662811627,0.0
BEAMXUSDT,1,-6740.419042862144,-0.1559456514522108,0.0
BROCCOLI714USDT,1,-6777.602884778389,-0.1966639196089195,0.0
FFUSDT,2,-6895.708037256359,-0.056100796783070846,0.0
BNTUSDT,8,-6940.755464487009,0.033556837029776014,0.625
SSVUSDT,1,-7054.335722958538,-0.0927247930334277,0.0
LUNCUSDT,7,-7210.885787898209,0.011617321893608994,0.14285714285714285
KITEUSDT,2,-7499.948673894949,-0.055759697794314105,0.0
MAGICUSDT,3,-7535.893674220246,-0.016289804076147805,0.3333333333333333
NMRUSDT,2,-7557.731628174959,-0.060729041745862244,0.5
BTCSTUSDT,2,-7800.065496925648,-0.19652947391029885,0.0
JSTUSDT,1,-7834.1547385093,-0.0689910579731479,0.0
GTCUSDT,1,-8028.221822822918,-0.0991531259468309,0.0
LTOUSDT,1,-8067.722623761935,-0.6028506713061991,0.0
BABYUSDT,1,-8100.865105542151,-0.1966167344483188,0.0
IOTAUSDT,11,-8290.427650358626,0.0035176760473362915,0.5454545454545454
DODOUSDT,2,-8426.744057234602,-0.1124140578819266,0.0
GASUSDT,2,-8655.653307670915,0.2366439685806373,0.5
WINUSDT,3,-8738.65736307374,-0.006574574951510935,0.3333333333333333
VGXUSDT,3,-8996.662481033245,-0.0743429341696531,0.0
XEMUSDT,1,-9053.73494803006,-0.4863347782263211,0.0
TRUUSDT,2,-9153.68493189032,-0.0318130339045233,0.5
PUMPUSDT,5,-9236.083443789872,-0.05917595189771417,0.4
WRXUSDT,5,-9294.670776527744,-0.10655338623518049,0.6
KSMUSDT,1,-9354.386856007892,-0.2219126434742405,0.0
QTUMUSDT,11,-9441.364057664425,-0.016943611092947872,0.2727272727272727
EDENUSDT,2,-9846.36358295186,-0.1557536682807028,0.0
LOOMUSDT,2,-9866.778032470982,-0.08559109254272057,0.5
ETCUSDT,29,-9970.92397044136,0.021082946002616895,0.3793103448275862
STGUSDT,3,-9996.840684801577,-0.08954447763370926,0.3333333333333333
AKROUSDT,2,-10405.225678860206,-0.0887459111312027,0.0
HOTUSDT,7,-10422.581968508923,-0.0060324822573950285,0.42857142857142855
RAREUSDT,4,-10678.507265617487,-0.04243336019240842,0.25
STRAXUSDT,1,-10873.647671611649,-0.2554554125135194,0.0
MDXUSDT,1,-11378.468619053943,-0.1790095248460787,0.0
SHIBUSDT,32,-11409.115511101732,0.007658516433634878,0.4375
TAOUSDT,19,-11444.326959676291,0.018690904252131393,0.47368421052631576
REEFUSDT,1,-11761.750845606948,-0.1829273363408812,0.0
1000SATSUSDT,5,-12185.46676644581,-0.038707492653722676,0.4
ICPUSDT,23,-12371.760177607664,-0.005937929747528069,0.34782608695652173
BELUSDT,1,-12391.522878914657,-0.1993384710091371,0.0
