date,none,C > SMA(50),"C > SMA(50), 3d",C > EMA(120),"C > EMA(120), 3d"
2023-07-29 00:00:00+00:00,671743.9182283643,1798282.6967098515,1490903.1101924041,1170755.6584691564,1187820.8599032895
2023-07-30 00:00:00+00:00,671520.4634072696,1797684.500094494,1490406.134691264,1170366.2079819846,1187425.732697014
2023-07-31 00:00:00+00:00,668313.8342143828,1789608.681834754,1483710.6623188318,1164777.5019731743,1181755.5644350797
2023-08-01 00:00:00+00:00,673915.9973091241,1778167.3787660017,1474225.0156176398,1174541.2883876956,1191661.6700267228
2023-08-02 00:00:00+00:00,663653.4022581731,1754003.2204122113,1464289.0435549961,1156655.02116526,1173514.6884948174
2023-08-03 00:00:00+00:00,664627.2566435596,1745495.4448217205,1457727.8170265527,1158352.313096422,1175236.7205401855
2023-08-04 00:00:00+00:00,672882.8700418907,1751131.8612707912,1457085.6894229418,1172740.6921169881,1189834.8278542007
2023-08-05 00:00:00+00:00,672423.8172248565,1779341.9416706779,1457085.6894229418,1171940.6272879736,1189023.1010978073
2023-08-06 00:00:00+00:00,669547.145495378,1761837.1494650757,1457085.6894229418,1166926.990969944,1183936.3848735942
2023-08-07 00:00:00+00:00,667104.7923936809,1761293.5595737807,1457085.6894229418,1162670.3112498913,1179617.6588193318
2023-08-08 00:00:00+00:00,661793.4373966473,1761293.5595737807,1457085.6894229418,1153413.3626595484,1170225.778835562
2023-08-09 00:00:00+00:00,656595.7912657738,1761293.5595737807,1457085.6894229418,1144354.5927126773,1161034.96619236
2023-08-10 00:00:00+00:00,659256.3915890623,1761293.5595737807,1457085.6894229418,1148991.64680262,1165739.6110400609
2023-08-11 00:00:00+00:00,665339.389226759,1761293.5595737807,1457085.6894229418,1159593.4605467184,1176495.9592387243
2023-08-12 00:00:00+00:00,661309.0700916564,1761293.5595737807,1457085.6894229418,1152569.1782200509,1169369.289371183
2023-08-13 00:00:00+00:00,657673.7237071609,1761293.5595737807,1457085.6894229418,1146233.2781327553,1162941.0357594998
2023-08-14 00:00:00+00:00,656287.9892546537,1761293.5595737807,1457085.6894229418,1143818.1368752248,1160490.6908522975
2023-08-15 00:00:00+00:00,645302.8695664402,1761293.5595737807,1457085.6894229418,1124672.6103063263,1141066.0947225587
2023-08-16 00:00:00+00:00,638203.2611631817,1761293.5595737807,1457085.6894229418,1112298.986242931,1128512.1098933755
2023-08-17 00:00:00+00:00,587697.3637490198,1761293.5595737807,1457085.6894229418,1024274.273879862,1039204.3292514635
2023-08-18 00:00:00+00:00,620394.1299255312,1761293.5595737807,1457085.6894229418,1081260.162365093,1097020.8570412057
2023-08-19 00:00:00+00:00,635578.2750648028,1761293.5595737807,1457085.6894229418,1102353.2839341003,1118421.4367598672
2023-08-20 00:00:00+00:00,629529.8670057897,1761293.5595737807,1457085.6894229418,1093805.8411070653,1109749.4044571933
2023-08-21 00:00:00+00:00,634104.4760776407,1761293.5595737807,1457085.6894229418,1096544.2685677472,1112527.7478609597
2023-08-22 00:00:00+00:00,644678.857410857,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-08-23 00:00:00+00:00,663758.9391450712,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-08-24 00:00:00+00:00,643283.289432067,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-08-25 00:00:00+00:00,640971.3317874784,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-08-26 00:00:00+00:00,641057.3464089164,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-08-27 00:00:00+00:00,640289.6332219583,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-08-28 00:00:00+00:00,643996.988591017,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-08-29 00:00:00+00:00,654390.0586017488,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-08-30 00:00:00+00:00,657211.1558169037,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-08-31 00:00:00+00:00,649491.7171554415,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-01 00:00:00+00:00,659285.2544466453,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-02 00:00:00+00:00,642536.9070234718,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-03 00:00:00+00:00,634357.7405865934,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-04 00:00:00+00:00,619922.175899625,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-05 00:00:00+00:00,622917.2778507109,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-06 00:00:00+00:00,625627.8455933601,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-07 00:00:00+00:00,622629.023821798,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-08 00:00:00+00:00,616908.6410937286,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-09 00:00:00+00:00,614042.3970022601,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-10 00:00:00+00:00,596582.1949776115,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-11 00:00:00+00:00,588041.2649347692,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-12 00:00:00+00:00,588033.378094353,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-13 00:00:00+00:00,597366.6768617377,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-14 00:00:00+00:00,601484.7751351706,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-15 00:00:00+00:00,642151.6778646143,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-16 00:00:00+00:00,683367.7356282237,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-17 00:00:00+00:00,587502.3182662638,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-18 00:00:00+00:00,619029.3072297545,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-19 00:00:00+00:00,647729.4098065948,1761293.5595737807,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-20 00:00:00+00:00,646953.7304249802,1762322.093407471,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-21 00:00:00+00:00,617929.5433418638,1711622.960060698,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-22 00:00:00+00:00,617783.8003106023,1704468.0862132227,1457085.6894229418,1096365.9560454316,1112346.83621466
