symbol,signal_date,entry_date,target_exit_date,entry_price,quantity,entry_cost,entry_fee,reserved,momentum,sigma,correction_sigma,volume_rank,exit_date,exit_price,exit_fee,pnl,return_on_reserved,holding_days_actual,exit_reason,mode
BONKUSDT,2025-04-01 00:00:00+00:00,2025-04-02 00:00:00+00:00,2025-04-07 00:00:00+00:00,1.177245532907976e-05,2264464763.1392565,26684.96857860041,26.658310268332077,26684.96857860041,0.5881369151111158,0.05916581552346756,1.0,46.0,2025-04-07 00:00:00+00:00,9.81509e-06,22.22592545204048,-4481.269052011965,-0.16793233384601577,5,scheduled,full
LAYERUSDT,2025-04-01 00:00:00+00:00,2025-04-02 00:00:00+00:00,2025-04-07 00:00:00+00:00,1.3843290705691011,30667.153917491316,42495.88611227992,42.453432679600326,42495.88611227991,0.9366096605799521,0.0835108541250895,1.0,32.0,2025-04-07 00:00:00+00:00,1.50314805,46.097272610126936,3555.289225236891,0.08366196238015447,5,scheduled,full
CAKEUSDT,2025-03-31 00:00:00+00:00,2025-04-03 00:00:00+00:00,2025-04-08 00:00:00+00:00,1.7759961448456136,17663.970331209246,31402.514354105813,31.37114321089492,31402.51435410581,0.5622047245600273,0.1006217360596891,1.0,20.0,2025-04-08 00:00:00+00:00,1.7041475000000001,30.10201088000441,-1330.6054849814063,-0.04237257787631367,5,scheduled,full
SUIUSDT,2025-04-02 00:00:00+00:00,2025-04-03 00:00:00+00:00,2025-04-08 00:00:00+00:00,2.1827101415376804,30573.730430148284,66800.32506599836,66.73359147452385,66800.32506599836,0.2589948825275437,0.05585738638458706,1.0,9.0,2025-04-08 00:00:00+00:00,2.0181904000000004,61.70360924631315,-5158.419428931527,-0.07722147195893189,5,scheduled,full
TONUSDT,2025-04-02 00:00:00+00:00,2025-04-03 00:00:00+00:00,2025-04-08 00:00:00+00:00,3.614182676169722,18464.36593106785,66800.32506599836,66.73359147452385,66800.32506599836,1.2232989700385581,0.05982507356267332,1.0,26.0,2025-04-08 00:00:00+00:00,3.1034475,57.30319028785769,-9554.43796842853,-0.14302981248951704,5,scheduled,full
ZROUSDT,2025-04-02 00:00:00+00:00,2025-04-03 00:00:00+00:00,2025-04-08 00:00:00+00:00,2.479001532761586,26919.5442570716,66800.32506599838,66.73359147452386,66800.32506599836,1.1074103758717324,0.09204044437774912,1.0,48.0,2025-04-08 00:00:00+00:00,2.5677155000000003,69.12173104181875,2252.2842447785515,0.0337166659376778,5,scheduled,full
TSTUSDT,2025-04-03 00:00:00+00:00,2025-04-05 00:00:00+00:00,2025-04-10 00:00:00+00:00,0.06634369893152735,1028033.5143796222,68271.74951549116,68.20354596952164,68271.74951549116,0.6678142984507097,0.05649952188412565,1.0,39.0,2025-04-10 00:00:00+00:00,0.0829585,85.2841183026619,16927.084668868076,0.24793688149191556,5,scheduled,full
EOSUSDT,2025-04-04 00:00:00+00:00,2025-04-06 00:00:00+00:00,2025-04-11 00:00:00+00:00,0.7335617597510732,93954.0903433883,68990.04897595535,68.92112784810723,68990.04897595535,1.5271085247286327,0.0644543259757803,1.0,32.0,2025-04-11 00:00:00+00:00,0.61879045,58.137893842925905,-10910.293026872365,-0.15814299582067057,5,scheduled,full
PEPEUSDT,2025-04-04 00:00:00+00:00,2025-04-06 00:00:00+00:00,2025-04-11 00:00:00+00:00,6.8007567811464494e-06,10134332114.210493,68990.04897595536,68.92112784810725,68990.04897595535,0.04969089661960662,0.06258730906292019,1.0,7.0,2025-04-11 00:00:00+00:00,6.6966500000000005e-06,67.8660751526277,-1191.8398984802916,-0.01727553344534769,5,scheduled,full
BTCUSDT,2025-04-05 00:00:00+00:00,2025-04-06 00:00:00+00:00,2025-04-11 00:00:00+00:00,81787.849766581,0.17257968879952937,14129.036581959508,14.11492166029921,14129.036581959506,0.12251037216436936,0.02117280173390431,1.0,1.0,2025-04-11 00:00:00+00:00,79567.49635,13.731733758640688,-411.0345570774607,-0.029091478013602522,5,scheduled,full
