symbol,signal_date,entry_date,target_exit_date,entry_price,quantity,entry_cost,entry_fee,reserved,momentum,sigma,correction_sigma,volume_rank,entry_time,target_exit_time,exit_date,exit_price,exit_fee,funding_cost,pnl,return_on_reserved,holding_days_actual,holding_hours_actual,exit_reason,mode
DOTUSDT,2021-02-19 00:00:00+00:00,2021-02-22 00:00:00+00:00,2021-02-27 00:00:00+00:00,32.511656390379045,1117.7736071327574,36377.01210877208,36.34067143733475,36377.01210877208,2.3778620253155216,0.07008553173735568,1.0,9.0,2021-02-22 14:00:00+00:00,2021-02-27 14:00:00+00:00,2021-02-27 14:00:00+00:00,34.6596615,38.741654856855355,71.56366130416819,2254.337431922242,0.06197148422144938,5,120.0,scheduled,full
ADAUSDT,2021-02-20 00:00:00+00:00,2021-02-22 00:00:00+00:00,2021-02-27 00:00:00+00:00,1.0171176728331117,83632.11233905848,85148.76317589695,85.06369947642054,85148.76317589695,2.843727472218158,0.09225819939276922,1.0,6.0,2021-02-22 04:00:00+00:00,2021-02-27 04:00:00+00:00,2021-02-27 04:00:00+00:00,1.2660366650000001,105.88132059264697,80.26086166362502,20546.415234493747,0.24130021938251497,5,120.0,scheduled,full
BTCUSDT,2021-02-20 00:00:00+00:00,2021-02-22 00:00:00+00:00,2021-02-27 00:00:00+00:00,53242.591243202274,1.5976626510882115,85148.76317589697,85.06369947642055,85148.76317589695,2.388340275497856,0.04901711736019465,1.0,1.0,2021-02-22 12:00:00+00:00,2021-02-27 12:00:00+00:00,2021-02-27 12:00:00+00:00,47313.401465,75.59085441657278,334.91453031282936,-9968.41414405359,-0.11707056887557173,5,120.0,scheduled,full
IOTAUSDT,2021-02-20 00:00:00+00:00,2021-02-22 00:00:00+00:00,2021-02-27 00:00:00+00:00,1.2477766064983922,68172.21851524603,85148.76317589697,85.06369947642055,85148.76317589695,2.7454572249598526,0.0990521893470191,1.0,43.0,2021-02-22 10:00:00+00:00,2021-02-27 10:00:00+00:00,2021-02-27 10:00:00+00:00,1.147426,78.2225760020747,121.9053702667511,-7126.315120091094,-0.08369252651820477,5,120.0,scheduled,full
NEOUSDT,2021-02-20 00:00:00+00:00,2021-02-22 00:00:00+00:00,2021-02-27 00:00:00+00:00,41.20607709590572,2064.3484037181634,85148.76317589697,85.06369947642055,85148.76317589695,2.4316546274526214,0.062029323149533196,1.0,44.0,2021-02-22 14:00:00+00:00,2021-02-27 14:00:00+00:00,2021-02-27 14:00:00+00:00,38.57370350000001,79.62956324572275,125.54892191281014,-5724.378415332743,-0.06722796904879932,5,120.0,scheduled,full
IOSTUSDT,2021-02-21 00:00:00+00:00,2021-02-22 00:00:00+00:00,2021-02-27 00:00:00+00:00,0.05061038751119205,1719155.9822995684,87094.15760682154,87.00715045636517,87094.15760682154,2.623488656964567,0.10627122779934418,1.0,36.0,2021-02-22 14:00:00+00:00,2021-02-27 14:00:00+00:00,2021-02-27 14:00:00+00:00,0.040527726,69.67348260189776,-998.9467499564352,-16491.401737569235,-0.189351412203998,5,120.0,scheduled,full
BNBUSDT,2021-02-20 00:00:00+00:00,2021-02-23 00:00:00+00:00,2021-02-28 00:00:00+00:00,213.95582704241502,397.5759887089093,85148.76317589697,85.06369947642055,85148.76317589695,2.332392916074925,0.16685677373721103,1.0,4.0,2021-02-23 08:00:00+00:00,2021-02-28 08:00:00+00:00,2021-02-28 08:00:00+00:00,209.54417550000002,83.30973275260573,-151.15724318078733,-1771.1829128630634,-0.02080104098757399,5,120.0,scheduled,full
FTMUSDT,2021-02-22 00:00:00+00:00,2021-02-23 00:00:00+00:00,2021-02-28 00:00:00+00:00,0.39864317174114106,54574.71546675966,21777.593508209917,21.75583767053938,21777.593508209917,2.0226449539886677,0.14212663693370256,1.0,32.0,2021-02-23 05:00:00+00:00,2021-02-28 05:00:00+00:00,2021-02-28 05:00:00+00:00,0.42146316300000003,23.00123220044555,244.60894512184828,956.0285149133415,0.043899639992496374,5,120.0,scheduled,full
DASHUSDT,2021-02-24 00:00:00+00:00,2021-02-26 00:00:00+00:00,2021-03-03 00:00:00+00:00,208.08697148294704,45.97362972512598,9576.079890957437,9.566513377579858,9576.079890957435,1.2800675020585028,0.13280079904954817,1.0,30.0,2021-02-26 05:00:00+00:00,2021-03-03 05:00:00+00:00,2021-03-03 05:00:00+00:00,222.58865,10.233208176115664,15.823662911694578,631.0714140704167,0.06590080923054215,5,120.0,scheduled,full
ATOMUSDT,2021-02-25 00:00:00+00:00,2021-02-26 00:00:00+00:00,2021-03-03 00:00:00+00:00,16.314756121362365,2842.7217236454494,46424.689953816545,46.37831164217437,46424.68995381654,0.982858655572133,0.08516024766309832,1.0,28.0,2021-02-26 07:00:00+00:00,2021-03-03 07:00:00+00:00,2021-03-03 07:00:00+00:00,19.71014,56.03044315409312,184.91755964561477,9364.805197476868,0.20172036058384046,5,120.0,scheduled,full
KSMUSDT,2021-02-25 00:00:00+00:00,2021-02-26 00:00:00+00:00,2021-03-03 00:00:00+00:00,205.3067875641829,348.7886468008105,71680.28529014636,71.60867661353284,71680.28529014635,1.5175457046969123,0.09018068400889098,1.0,49.0,2021-02-26 05:00:00+00:00,2021-03-03 05:00:00+00:00,2021-03-03 05:00:00+00:00,246.4637065,85.96374267564713,181.14756521752352,14016.34607760758,0.19553976411885685,5,120.0,scheduled,full
